municipio,dept,area_antropico_1985,area_antropico_2024,area_natural_1985,area_natural_2024,antropico_share_1985,antropico_share_2024,cambio_antrop_ha,cambio_antrop_pct,cambio_natural_ha,cambio_antrop_share_pp
Arbieto,Cochabamba,5016.64783007817,8158.65710665917,9670.14564237067,6528.13636578979,34.1575432342599,55.5509759292527,3142.00927658101,62.6316493205395,-3142.00927658088,21.3934326949928
Arque,Cochabamba,2068.22812549439,8361.02476036968,49485.8223628206,43193.02572795,4.01176649730591,16.2179783764304,6292.79663487529,304.260277544144,-6292.79663487061,12.2062118791245
Ascención de Guarayos,Santa Cruz,10020.1058386902,212076.206167609,857985.222894974,655929.122566015,1.15438298671606,24.432592652054,202056.100328919,2016.50664755185,-202056.100328959,23.278209665338
Atocha,Potosi,676.405248425292,274.528676599121,209766.084299166,210167.960871004,0.321420474486605,0.130453064487731,-401.876571826172,-59.413579767715,401.876571837376,-0.190967409998874
Aucapata,La Paz,874.547261840825,2569.87042669056,23230.6492234272,21535.3260585766,3.62804452714297,10.6610640085893,1695.32316484974,193.851520532037,-1695.32316485055,7.03301948144637
Ayata,La Paz,2033.62567469483,6674.76816046132,64538.953742846,59897.8112570774,3.05474970699273,10.0263024489372,4641.1424857665,228.220096919408,-4641.14248576867,6.97155274194445
Ayo Ayo,La Paz,16465.9694019832,22054.0164455974,32387.620686481,26799.5736428655,33.7047274768682,45.143082433988,5588.0470436142,33.9369453883546,-5588.04704361558,11.4383549571198
Batallas,La Paz,13284.1043566762,21848.3442756436,84923.2288240607,76358.9889050866,13.5265910665028,22.2471617627945,8564.23991896735,64.4698331857292,-8564.23991897405,8.72057069629164
Baures,Beni,10516.7422690673,36821.2252908024,1755205.41616499,1728901.10711803,0.595605695989891,2.08533497113163,26304.4830217351,250.120069017037,-26304.309046963,1.48972927514174
Bella Flor,Pando,3912.76548170776,55816.6730767648,571909.682695448,520008.587213723,0.679506014022579,9.6933352747684,51903.907595057,1326.52743533208,-51901.0954817257,9.01382926074582
Belén de Andamarca,Oruro,52.7504286499023,1768.47684612424,107354.671072558,105638.944655082,0.0491124616089113,1.64651270964957,1715.72641747434,3252.53549854806,-1715.7264174766,1.59740024804066
Belén de Urmiri,Potosi,674.826875762938,596.828284820554,129467.236791439,129545.235382381,0.518530947448781,0.45859752642832,-77.9985909423838,-11.558311286017,77.9985909415991,-0.0599334210204607
Bermejo,Tarija,8769.4228081664,12746.5022214595,30679.7401588489,26703.0744174937,22.2294471964187,32.3108720230811,3977.07941329308,45.3516668119762,-3976.66574135513,10.0814248266624
Betanzos,Potosi,16962.9152816163,23912.1241213443,174461.189246646,167511.980406916,8.86143117838738,12.4916996113278,6949.20883972799,40.9670668299526,-6949.20883973036,3.63026843294037
Bolpebra (Mukden),Pando,1064.90137453003,24257.9368174066,245527.271498817,222337.218805618,0.431845500489304,9.83715059451136,23193.0354428766,2177.95149838288,-23190.0526931982,9.40530509402206
Bolívar,Cochabamba,3194.75312873531,9896.04344168124,69000.0858423684,62298.7955294223,4.42518215189042,13.7074111982467,6701.29031294593,209.75925346691,-6701.29031294613,9.28222904635631
Boyuibe,Santa Cruz,1756.51013460694,9423.71978941052,164327.153422774,156659.943768084,1.05760560490049,5.67407991102524,7667.20965480358,436.502443324604,-7667.2096546909,4.61647430612475
Buena Vista,Santa Cruz,31575.83244632,51361.1436014304,193556.25398054,173770.942825424,14.025469646495,22.8137820852638,19785.3111551105,62.6596660238371,-19785.3111551151,8.78831243876885
Cabezas,Santa Cruz,80188.8265587556,238398.454510521,426003.855027711,267794.227076021,15.8415618154404,47.0963850688866,158209.627951765,197.296350054259,-158209.62795169,31.2548232534462
Cairoma,La Paz,3550.33904650878,7358.03668136589,50551.7310032886,46744.0333684329,6.56229797351733,13.6002867812509,3807.69763485712,107.248845391299,-3807.69763485562,7.03798880773357
"Caiza ""D""",Potosi,7037.0293424706,8913.71790436566,130405.002715773,128528.314153875,5.11999803632743,6.48543809406753,1876.68856189506,26.6687613559983,-1876.68856189809,1.3654400577401
Cajuata,La Paz,5140.25150731817,15287.5397115416,91541.1330932169,81393.8448889955,5.31669206906427,15.8122887613845,10147.2882042234,197.408398981582,-10147.2882042214,10.4955966923202
Calacoto,La Paz,12647.142582074,15844.0879136354,379344.339326021,376147.393994448,3.22638199190237,4.04194699244781,3196.94533156138,25.2780049787113,-3196.94533157273,0.815565000545442
Calamarca,La Paz,23662.0525099912,28144.4667596834,25572.7128892057,21090.2986395124,48.0596430553464,57.1638079951999,4482.41424969227,18.9434718218109,-4482.41424969326,9.10416493985357
Camargo,Chuquisaca,2969.75991555789,4220.64084584353,204779.197000613,203528.316070329,1.42949450126781,2.03160627542721,1250.88093028564,42.1206079229693,-1250.8809302834,0.602111774159397
Camiri,Santa Cruz,6755.85698595588,10540.9296253787,96909.2274733976,93124.1548339876,6.51700331041047,10.16825450956,3785.07263942284,56.0265358975372,-3785.07263940996,3.65125119914954
Capinota,Cochabamba,6113.42856311039,9709.52130568246,48064.3694265079,44468.2766839351,11.2840107755613,17.9215871924938,3596.09274257207,58.8228472034757,-3596.09274257279,6.63757641693243
Caquiaviri,La Paz,47770.6072976681,42315.9211379155,109644.630070488,115099.316230243,30.3468762594717,26.8817185968778,-5454.68615975255,-11.4184986717111,5454.68615975467,-3.46515766259395
Caracollo,Oruro,25194.4645044076,66492.0191090793,210166.940259904,168869.385655222,10.7045862211934,28.2510291675335,41297.5546046716,163.915190963661,-41297.5546046826,17.5464429463402
Caranavi,La Paz,5359.86018944092,26179.2793049681,150134.775552429,129315.356436901,3.44697433700453,16.8361301854987,20819.4191155272,388.432130310825,-20819.4191155271,13.3891558484941
