dept,muni_rel,muni_code,muni_name,year,agro_strict_bob,p10_agropecuario_bob,p12_microriegos_bob,p18_caminos_vecinales_bob,p32_recursos_hidricos_bob,rural_infra_bob,rural_total_bob,total_presupuesto_bob,agro_strict_bob_mm,p10_agropecuario_bob_mm,p12_microriegos_bob_mm,p18_caminos_vecinales_bob_mm,p32_recursos_hidricos_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,total_presupuesto_bob_mm,agro_share_pct,p10_share_pct
Beni,311,1810,Santa Ana,2019,550000,550000,,,,8583008,55449292,89124579,0.55,0.55,,,,8.583008,55.449292,89.124579,0.617113714500688,0.617113714500688
Beni,311,1810,Santa Ana,2020,1479774,1479774,,,,7906541,53964225,88662208,1.479774,1.479774,,,,7.906541,53.964225,88.662208,1.66900197206909,1.66900197206909
Beni,311,1810,Santa Ana,2021,415901,415901,,,,5836105,50372705,85470319,0.415901,0.415901,,,,5.836105,50.372705,85.470319,0.486602840455059,0.486602840455059
Beni,312,1811,San Ignacio,2012,1814481,1814481,,,,5587225,7583378,50889354,1.814481,1.814481,,,,5.587225,7.583378,50.889354,3.56554142935279,3.56554142935279
Beni,312,1811,San Ignacio,2013,1790711,1790711,,,,5622131,7492979,58349876,1.790711,1.790711,,,,5.622131,7.492979,58.349876,3.06891997508272,3.06891997508272
Beni,312,1811,San Ignacio,2014,1183453,1183453,,,,6913302,8176755,63723182,1.183453,1.183453,,,,6.913302,8.176755,63.723182,1.85717813024466,1.85717813024466
Beni,312,1811,San Ignacio,2015,1271636,1271636,,,,8889477,10241113,77075236,1.271636,1.271636,,,,8.889477,10.241113,77.075236,1.64986325828441,1.64986325828441
Beni,312,1811,San Ignacio,2016,510000,510000,,,,7416994,8046994,58907004,0.51,0.51,,,,7.416994,8.046994,58.907004,0.865771411494633,0.865771411494633
Beni,312,1811,San Ignacio,2017,555050,555050,,,,5682800,6357850,47698968,0.55505,0.55505,,,,5.6828,6.35785,47.698968,1.16365201024894,1.16365201024894
Beni,312,1811,San Ignacio,2018,385108,385108,,,,5944071,6679179,50273218,0.385108,0.385108,,,,5.944071,6.679179,50.273218,0.766030135568406,0.766030135568406
