dept_upper,year,agro_strict_bob,p10_agropecuario_bob,rural_infra_bob,rural_total_bob,p10_corriente_bob,p10_inversion_bob,pib_agrop_bob_2017_mm,pib_total_bob_2017_mm,pib_agrop_pct_gdp,deuda_rural_mm_bob,p10_agropecuario_bob_mm,agro_strict_bob_mm,rural_infra_bob_mm,rural_total_bob_mm,p10_corriente_bob_mm,p10_inversion_bob_mm,cpi_2015base,bob_per_usd,p10_agropecuario_bob_mm_2015,agro_strict_bob_mm_2015,rural_infra_bob_mm_2015,rural_total_bob_mm_2015,p10_agropecuario_bob_per_capita_farmers_proxy,superficie_total_ha,produccion_total_ton,rend_cereales_kg_ha,prod_arroz_ton,prod_maiz_ton,prod_papa_ton,prod_trigo_ton
POTOSÍ,2019,59773941,24050036,115394207,197500167,19677141,4372895,972.724838539326,21213.0379502445,4.5855046355023,39.9,24.050036,59.773941,115.394207,197.500167,19.677141,4.372895,110.973622354616,6.91,21.6718491202785,53.8631971559805,103.983455303692,177.970370624552,24724.397945995,192513.510726809,487598.348017771,1017.2380547783,0,22065,0,0
POTOSÍ,2020,23642165,23240165,153245293,196918307,18153108,5087057,979.425908430455,17297.9450219254,5.66209400705702,37.8,23.240165,23.642165,153.245293,196.918307,18.153108,5.087057,112.017597999241,6.91,20.746887466876,21.1057596505151,136.804659033162,175.792295601031,23728.3543348805,190885.704310711,494485.002308211,1030.88100231223,0,23661.3533475494,0,0
SANTA CRUZ,2012,45257471,21815709,554971969,637523709,19248876,2566833,,,,209.4,21.815709,45.257471,554.971969,637.523709,19.248876,2.566833,85.9299851602867,6.91,25.3877723350083,52.6678445429502,645.842039847675,741.91064715165,,3755029,21256750,2255.6,386843,630084,0,0
SANTA CRUZ,2013,30288064,23062369,724195278,787749367,20267485,2794884,,,,194.2,23.062369,30.288064,724.195278,787.749367,20.267485,2.794884,90.8592730328446,6.91,25.3825154331393,33.335137943544,797.051587390768,866.999416465986,,4276593,23438000,2065.8,402323,603214,0,0
SANTA CRUZ,2014,36543587,29267921,1170937946,1309287743,27516345,1751576,,,,182.2,29.267921,36.543587,1170.937946,1309.287743,27.516345,1.751576,96.0987645491769,6.91,30.4560845681035,38.027114262535,1218.47346476634,1362.43972452944,,4173987,22777156,2157.6,403312,643725,0,0
SANTA CRUZ,2015,42900571,32126541,1135685206,1291703898,30684541,1442000,,,,170.8,32.126541,42.900571,1135.685206,1291.703898,30.684541,1.442,100,6.91,32.126541,42.900571,1135.685206,1291.703898,,4081812,22721849,2501.4,439232,675772,0,0
SANTA CRUZ,2016,31273329,26999476,1003551854,1122902545,26934476,65000,,,,166.7,26.999476,31.273329,1003.551854,1122.902545,26.934476,0.065,103.623214317642,6.91,26.0554318622438,30.1798484113185,968.462386163547,1083.63994727852,,4186412,22874580,2375,317340,624904,0,0
SANTA CRUZ,2017,21028456,19343812,964743036,1062919981,17085980,2257832,10285.968575922,95419.7196074641,10.7797094963559,164.4,19.343812,21.028456,964.743036,1062.919981,17.08598,2.257832,106.548246947132,6.91,18.1549791331604,19.7360882065325,905.451815156281,997.594997060263,1880.60189540937,3952794,23826901,2076,351599,555697,0,0
SANTA CRUZ,2018,19630279,17490039,914914849,1052653498,17490039,,10492.6529537034,98478.366945874,10.6547796019712,153.3,17.490039,19.630279,914.914849,1052.653498,17.490039,,108.969086910658,6.91,16.0504593512284,18.0145393125066,839.609539676258,966.011120991636,1666.88435014206,4231831,26007451,2436.8,409297,753784,0,0
SANTA CRUZ,2019,36263631,33615369,1069427081,1232482127,23710578,9904791,10857.3840675172,101417.908860085,10.7055885785379,141,33.615369,36.263631,1069.427081,1232.482127,23.710578,9.904791,110.973622354616,6.91,30.2913145365141,32.677703251066,963.676825455556,1110.60817953802,3096.08362299437,4443768.12071566,26544246.1796208,2269.7725527001,432430,566222,0,0
SANTA CRUZ,2020,46534550,45650704,960773204,1136399313,26380305,19270399,11471.7124307998,91059.925311765,12.5979813749283,134.3,45.650704,46.53455,960.773204,1136.399313,26.380305,19.270399,112.017597999241,6.91,40.753153803842,41.5421780426995,857.698451993687,1014.48284314015,3979.41495442607,4762351.8684859,28137957.7424414,2175.83886564643,350863.27597716,536356.832808376,0,0
TARIJA,2012,130166683,94335916,339200680,497642694,29817195,64518721,,,,156.2,94.335916,130.166683,339.20068,497.642694,29.817195,64.518721,85.9299851602867,6.91,109.782302212707,151.479931897111,394.740764085183,579.125776725946,,154845,1170786,1937.8,624,135529,0,0
TARIJA,2013,155781391,120304635,393804723,575553572,51600007,68704628,,,,156.2,120.304635,155.781391,393.804723,575.553572,51.600007,68.704628,90.8592730328446,6.91,132.407657451223,171.453486034042,433.42270948794,633.456060992194,,157340,1180817,1915.8,629,139722,0,0
TARIJA,2014,163339152,99982923,464208340,668149282,47168616,52814307,,,,155.5,99.982923,163.339152,464.20834,668.149282,47.168616,52.814307,96.0987645491769,6.91,104.041840151686,169.970085220413,483.053390101024,695.273539815474,,155660,1262320,1959,646,145817,0,0
TARIJA,2015,188692276,149778892,411523051,633764459,64091190,85687702,,,,155.5,149.778892,188.692276,411.523051,633.764459,64.09119,85.687702,100,6.91,149.778892,188.692276,411.523051,633.764459,,156728,1299450,1970,788,147827,0,0
TARIJA,2016,115340311,84185152,209413662,347231103,42492549,41692603,,,,155.3,84.185152,115.340311,209.413662,347.231103,42.492549,41.692603,103.623214317642,6.91,81.2415949016431,111.30740515966,202.091455451356,335.090071550583,,153911,1306350,1561,606,134987,0,0
TARIJA,2017,75859274,62941515,162568405,258750839,31466687,31474828,1034.91260334321,24366.5213415173,4.24727267728552,155.2,62.941515,75.859274,162.568405,258.750839,31.466687,31.474828,106.548246947132,6.91,59.0732525437336,71.1971113308328,152.577268662773,242.848518313389,60818.1935331275,153539,1372728,1696.8,730,153638,0,0
TARIJA,2018,63705432,47283822,167924847,251383492,22700278,24583544,1123.54694027944,23559.4243466515,4.76899148191252,155.2,47.283822,63.705432,167.924847,251.383492,22.700278,24.583544,108.969086910658,6.91,43.3919594451288,58.4619306319699,154.10319730189,230.692482727789,42084.4206012791,154618,1446410,1882.2,713,200492,0,0
TARIJA,2019,115679429,60153549,237258355,374480305,37110912,23042637,1117.41407760379,21796.4345664674,5.12659111377266,155.1,60.153549,115.679429,237.258355,374.480305,37.110912,23.042637,110.973622354616,6.91,54.2052676335819,104.240473137253,213.797071741825,337.449834523153,53832.8182950718,153455.244123916,1553205.43405186,1797.79790262047,730,155086,0,0
TARIJA,2020,50015966,49375451,257965632,326624252,33315998,16059453,1161.51423720862,19536.7218063128,5.94528728373104,155.1,49.375451,50.015966,257.965632,326.624252,33.315998,16.059453,112.017597999241,6.91,44.0782983048205,44.6500968538345,230.290272785307,291.582981454587,42509.5529768625,170011.461355258,1596855.52295448,1784.13758107896,725.786055502874,157918.054023017,0,0
